News,Target
A man who stormed the U.S. Capitol in a horned fur cap is an “Antifa thug.”,0
“Georgia and Kansas Capitol buildings have been stormed by protesters.”,0
We won. We won in a landslide. This was a landslide.”,0
"Antifa"" is to blame for storming the U.S. Capitol.",0
"Google and Apple maps won’t give directions to Washington, D.C. because “they don’t want you going to a certain big rally.”",0
“39% of Americans … 31% of independents ... 17% of Democrats believe the election was rigged.,0
"“Judge Rules Over 200,000 Biden Votes Are Illegitimate In Wisconsin.”",0
Photo shows “2 sitting senators counting ballots” in Georgia.,0
Says shredded ballots were found in Dell boxes in Georgia,0
"They just happened to find 50,000 ballots (in the Georgia U.S. Senate runoff elections) late last night.",0
Says Georgia Secretary of State Brad Raffensperger “faces espionage charges.”,0
"Says City Blue Imaging Services in Rochester, N.Y. “printed ballots there. If you search them you’ll see they’re the ones who had ballots misprint errors for the ballots sent to NYC.”",0
"Photo shows people protesting the 2020 election in Washington D.C. on Jan. 5, 2021.",0
"“Dems Pass Bill to Vaccinate Children Without Parental Knowledge, Consent.”",0
There are “absolutely no patients” at Los Angeles hospital considered the center of region's COVID-19 surge.,0
“The Vice President has the power to reject fraudulently chosen electors.”,0
“President-elect Biden steps down as president-elect.”,0
“1776 flag flying over White House!” in January 2021. “Revolution Signal.”,0
On whether he’ll object to the Electoral College results,0
New York “is trying to pass a bill that would allow them to round up non mask wearers and people who don’t want to take the vaccine into concentration camps. Then with a court order they can force vaccinate you.”,0
"Says Mayor Muriel Bowser “ordered all hotels, restaurants, grocery stores, gas stations, and convenience stores to close Jan. 4, 5 and 6 to discourage Trump supporters from gathering in D.C.”",0
Wisconsin Legislature “Will Likely Decertify State and Award to President Trump.”,0
"“You had (4,925) out-of-state voters… in Georgia.”",0
"After a “major water main break,” Georgia election workers counted “18,000 ballots, all for Biden” that they pulled from suitcases and with no election observers present.",0
“Congress has one job here: to count electoral votes that have in fact been cast by any state.”,1
Photo shows “people coming from California to Washington DC” to protest election results.,0
Says COVID-19 vaccines have “experimental technology never before used on humans” and that some “contain nanochips which can electronically track recipients.,0
“We won Georgia easily. We won it by hundreds of thousands of votes.”,0
"A registered nurse in Nashville, Tenn., developed Bell’s Palsy after receiving the COVID-19 vaccine.",0
"“In my state, as in many other states, we have governors who are closing down businesses again.”",1
